id;name;password;username
1;calculate Investment Account;Soft Investment Account port;innovative Realigned
2;Tuna Granite;leading-edge;withdrawal
3;Handmade silver;Small maximized bandwidth-monitored;Underpass
4;alarm Money Market Account backing up;Berkshire Isle;cross-platform
5;Unbranded Granite Bacon;synergy internet solution;Granite
6;Infrastructure Granite infrastructures;value-added;pink
7;Directives alarm Jersey;time-frame Accounts;Concrete Soap
8;Marketing interface;Sausages;Designer payment
9;lavender infrastructures;Movies;payment Infrastructure
10;Ergonomic Steel Bike;calculating initiatives bluetooth;Bike Digitized e-business
